Item,Specification,Price
"ABSORTION TOWER DRYING TOWER","","3490.00"
"ACID ACCUMULATOR","2V 10AH","2500.00"
"ACID ACCUMULATOR","6V 15 AH","3000.00"
"ALCOHOMETER","","5540.00"
"AMMETER","DIGITAL","4500.00"
"AMMETER","DUAL RANGE","1200.00"
"ANEROID BAROMETER","","2900.00"
"ASPIRATOR BOTTLEGLASS","2.5L","4141.00"
"ASPIRATOR BOTTLEGLASS","5L","5850.00"
"ASPIRATOR BOTTLEGLASS","10L","7350.00"
"ASPIRATOR BOTTLEPLASTIC","5L","2000.00"
"ASPIRATORPLASTIC","10L","3000.00"
"ATOMIC MODEL SET","60 BALLS","5000.00"
"AUTOCLAVE ELECTRICAL","","40000.00"
"BALANCE BATHROOM SCALE","","2400.00"
"BALANCE ELECTRONIC OHAUS PS 121","120 GM 0.1","10000.00"
"BALANCE ELECTRONIC OHAUS CL 200","200 GM 0.1","13000.00"
"BALANCE ELECTRONIC OHAUS CS 200","200 GM 0.1","17000.00"
"BALANCE ELECTRONIC OHAUS SCOUT 11","400 GM 0.1","38000.00"
"BALANCE ELECTRONIC OHAUS SCOUT PRO","600 GM 0.1","40000.00"
"BALANCE ELECTRONIC OHAUS SCOUT PRO","200 GM 0.1","45000.00"
"BALANCE ELECTRONIC OHAUS SCOUT PRO","200 GM 0.1","60000.00"
"BALANCE ELECTRONIC OHAUS SCOUT PRO","400 GM 0.1","70000.00"
"BALANCE ELECTRONIC OHAUS PRO","810 GM 0.01","95000.00"
"BALANCE ELECTRONIC OHAUS ADVENTURER","150 GM 0.00I","164000.00"
"BALANCE MECHANICAL INDIA","110 GM 0.01","5945.00"
"BALANCE MECHANICAL INDIA","2610 GM 0.1","16000.00"
"BALANCE LEVER INDIA","500 GM/1KG","3500.00"
"BALANCE MECHANICAL OHAUS CENTER O GRAM","311 GM","30000.00"
"BALANCE MECHANICAL OHAUS DIAL O GRAM","310 GM","32000.00"
"BALANCE MECHANICAL OHAUS TRIPLE BEAM","610 GM","30000.00"
"BALANCE MECHANICAL OHAUS DOUBLE DIAL-NO-GRAM","2610 GM","35000.00"
"BALANCE SPRING","100 GM","390.00"
"BALANCE SPRING","250 GM","390.00"
"BALANCE SPRING","500 GM","390.00"
"BALANCE SPRING","1000 GM","390.00"
"BALANCE SPRING","","390.00"
"BALANCE WEIGHT BOX","","1140.00"
"BALL & RING APPARATUS","","1843.00"
"BANANA PLUG","","210.00"
"BAR BREAKING APPARATUS","","2500.00"
"BAR AND GAUGE APPARATUS","","750.00"
"BAR FOR BAR BREAKING","","2500.00"
"BARLOWS WHEEL APPARATUS","","2020.00"
"BAROMETER FORTINS","","7500.00"
"BAROMETER FORTINS WITH MERCURY","","15000.00"
"BAROMETER TUBE CLOSED AT ONE END","","330.00"
"BEAKER BOROSIL","25 ML","150.00"
"BEAKER BOROSIL","50 ML","155.00"
"BEAKER BOROSIL","100 ML","160.00"
"BEAKER BOROSIL","150 ML","170.00"
"BEAKER BOROSIL","250 ML","180.00"
"BEAKER BOROSIL","500 ML","310.00"
"BEAKER BOROSIL","600 ML","250.00"
"BEAKER BOROSIL","1000 ML","500.00"
